1, 2
2, 3
2, 4
1, 3
2, 1
3, 2
4, 2
3, 1
5, 6
6, 7
7, 8
8, 5
6, 5
7, 6
8, 7
5, 8
9, 10
9, 11
9, 12
9, 13
10, 9
11, 9
12, 9
13, 9
14, 15
15, 16
17, 18
18, 19
19, 20
15, 21
15, 14
16, 15
18, 17
19, 18
20, 19
21, 15
22, 23
22, 24
23, 24
24, 25
25, 23
23, 22
24, 22
24, 23
25, 24
23, 25
26, 27
27, 28
27, 26
28, 27
29, 30
29, 36
30, 31
30, 36
31, 32
32, 33
33, 34
34, 35
34, 37
34, 38
38, 37
30, 35
30, 29
36, 29
31, 30
36, 30
32, 31
33, 32
34, 33
35, 34
37, 34
38, 34
37, 38
35, 30
39, 40
40, 41
41, 42
40, 39
41, 40
42, 41
43, 44
44, 46
44, 45
46, 47
44, 43
46, 44
45, 44
47, 46
48, 49
49, 50
49, 48
50, 49
51, 52
52, 53
53, 54
52, 54
52, 51
53, 52
54, 53
54, 52
56, 55
57, 55
57, 58
55, 56
55, 57
58, 57
59, 60
60, 59
